0.78125 {'not_entailment': 'Of course', 'entailment': 'Yes'}
0.71875 {'not_entailment': 'Meanwhile', 'entailment': 'Yes'}
0.71875 {'not_entailment': 'In the meantime', 'entailment': 'Yes'}
0.71875 {'not_entailment': 'By the way', 'entailment': 'Yes'}
0.71875 {'not_entailment': 'As of today', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'Today', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'On the other hand', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'In the end', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'In the United States', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'After all', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'Finally', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'As of this writing', 'entailment': 'Yes'}
0.68750 {'not_entailment': 'As far as I know', 'entailment': 'Yes'}
0.65625 {'not_entailment': 'But', 'entailment': 'Yes'}
0.65625 {'not_entailment': 'In all', 'entailment': 'Yes'}
0.65625 {'not_entailment': 'At the same time', 'entailment': 'Yes'}
0.62500 {'not_entailment': 'However', 'entailment': 'Yes'}
0.62500 {'not_entailment': 'For the record', 'entailment': 'Yes'}
0.62500 {'not_entailment': 'As it is', 'entailment': 'Yes'}
0.59375 {'not_entailment': 'In fact', 'entailment': 'Yes'}
